merchant_name,category
"Rippin, Kub and Mann",Other
"Heller, Gutmann and Zieme",Groceries
Lind-Buckridge,Entertainment
"Kutch, Hermiston and Farrell",Transportation
Keeling-Crist,Other
"Stroman, Hudson and Erdman",Transportation
Rowe-Vandervort,Groceries
Corwin-Collins,Transportation
Herzog Ltd,Other
"Schoen, Kuphal and Nitzsche",Groceries
Rutherford-Mertz,Groceries
Kerluke-Abshire,Shopping
Lockman Ltd,Groceries
Kiehn Inc,Groceries
Beier-Hyatt,Shopping
Schmidt and Sons,Shopping
Lebsack and Sons,Other
Mayert Group,Shopping
"Konopelski, Schneider and Hartmann",Food & Dining
"Schultz, Simonis and Little",Groceries
Bauch-Raynor,Groceries
Harris Inc,Transportation
Kling-Grant,Groceries
Pacocha-Bauch,Shopping
Lesch Ltd,Shopping
Kunde-Sanford,Other
Deckow-O'Conner,Groceries
Bruen-Yost,Other
Kunze Inc,Groceries
"Nitzsche, Kessler and Wolff",Shopping
"Kihn, Abernathy and Douglas",Shopping
Torphy-Goyette,Shopping
Balistreri-Nader,Other
"Bahringer, Schoen and Corkery",Shopping
Hudson-Ratke,Groceries
Heidenreich PLC,Groceries
Halvorson Group,Other
Harber Inc,Transportation
"Mosciski, Gislason and Mertz",Groceries
"Christiansen, Goyette and Schamberger",Transportation
Howe Ltd,Other
Ledner-Pfannerstill,Transportation
Koepp-Witting,Groceries
Doyle Ltd,Groceries
"Schaefer, Maggio and Daugherty",Transportation
Stracke-Lemke,Groceries
"Mosciski, Ziemann and Farrell",Shopping
Cartwright-Harris,Groceries
Pacocha-O'Reilly,Groceries
Pfeffer LLC,Groceries
Huels-Hahn,Transportation
Volkman PLC,Food & Dining
Kiehn-Emmerich,Groceries
Kemmer-Buckridge,Other
Cummerata-Jones,Transportation
"Goldner, Kovacek and Abbott",Groceries
Spinka-Welch,Groceries
Huel-Langworth,Other
Macejkovic-Lesch,Shopping
Morar Inc,Groceries
"Eichmann, Bogan and Rodriguez",Transportation
"Huel, Hammes and Witting",Groceries
"Ferry, Lynch and Kautzer",Other
Heathcote LLC,Shopping
"Little, Gutmann and Lynch",Shopping
Jaskolski-Dibbert,Groceries
Hackett-Lueilwitz,Groceries
Cummings LLC,Transportation
"Swaniawski, Lowe and Robel",Shopping
"Osinski, Ledner and Leuschke",Groceries
"Reichert, Huels and Hoppe",Shopping
Ankunding LLC,Shopping
Pfeffer and Sons,Shopping
"Greenholt, Jacobi and Gleason",Transportation
"Connelly, Reichert and Fritsch",Transportation
Torp-Labadie,Transportation
Wolf Inc,Groceries
VonRueden Group,Groceries
Vandervort-Funk,Groceries
Bernhard Inc,Transportation
"Morissette, Weber and Wiegand",Groceries
Brekke and Sons,Transportation
Mraz-Herzog,Transportation
Padberg-Welch,Groceries
Kutch-Hegmann,Groceries
Corwin-Gorczany,Other
Huels-Nolan,Transportation
DuBuque LLC,Groceries
Schmeler Inc,Other
"Schaefer, McGlynn and Bosco",Transportation
Williamson LLC,Other
Pouros-Conroy,Shopping
Erdman-Kertzmann,Transportation
Kuhn LLC,Other
Fisher-Schowalter,Shopping
Medhurst PLC,Shopping
Kerluke Inc,Other
Stark-Batz,Entertainment
"Gottlieb, Considine and Schultz",Shopping
"Adams, Kovacek and Kuhlman",Groceries
Grimes LLC,Entertainment
Rodriguez Group,Transportation
Wuckert-Walter,Groceries
Weber and Sons,Food & Dining
"Herman, Treutel and Dickens",Other
Rau and Sons,Groceries
Koss and Sons,Transportation
Smitham-Schiller,Groceries
Hills-Olson,Groceries
Durgan-Auer,Other
McDermott-Rice,Other
"Raynor, Reinger and Hagenes",Transportation
Powlowski-Weimann,Food & Dining
"Langosh, Wintheiser and Hyatt",Food & Dining
"Baumbach, Hodkiewicz and Walsh",Shopping
Rempel Inc,Shopping
Bins-Rice,Transportation
Emard Inc,Transportation
Kutch and Sons,Groceries
Fisher Inc,Shopping
"Olson, Becker and Koch",Transportation
Friesen-D'Amore,Transportation
"Reilly, Heaney and Cole",Transportation
Boyer PLC,Other
Luettgen PLC,Transportation
Cassin-Harvey,Groceries
Funk Group,Groceries
Goodwin-Nitzsche,Groceries
"Parisian, Schiller and Altenwerth",Other
Metz-Boehm,Shopping
"Monahan, Bogisich and Ledner",Other
Koelpin and Sons,Other
Kuhic LLC,Shopping
Koepp-Parker,Groceries
"Stehr, Jewess and Schimmel",Other
"Quitzon, Green and Bashirian",Shopping
"Nicolas, Hills and McGlynn",Entertainment
Leannon-Ward,Food & Dining
Friesen-Stamm,Transportation
Botsford Ltd,Shopping
Bradtke PLC,Groceries
"Zieme, Bode and Dooley",Transportation
Hills-Witting,Shopping
Brown-Greenholt,Entertainment
"Bernhard, Grant and Langworth",Shopping
"Wiza, Schaden and Stark",Other
Buckridge PLC,Other
Kilback LLC,Groceries
Spinka Inc,Groceries
"Kerluke, Kertzmann and Wiza",Other
"Ferry, Reichel and DuBuque",Groceries
Price Inc,Shopping
"Johnston, Nikolaus and Maggio",Groceries
Berge LLC,Transportation
Conroy-Cruickshank,Transportation
Abshire PLC,Entertainment
Gleason-Macejkovic,Shopping
McGlynn-Jaskolski,Other
Bartoletti-Wunsch,Transportation
Cole PLC,Groceries
"Lehner, Reichert and Mills",Other
McCullough LLC,Other
Schmitt Ltd,Other
Pouros-Haag,Shopping
Strosin-Cruickshank,Groceries
"Weimann, Kuhic and Beahan",Shopping
Donnelly PLC,Other
"Lockman, West and Runte",Groceries
Torp-Lemke,Other
Kris-Weimann,Other
"Rodriguez, Yost and Jenkins",Other
Wiegand-Lowe,Groceries
Auer-Mosciski,Groceries
"Okuneva, Schneider and Rau",Shopping
Kassulke PLC,Shopping
Dach-Nader,Other
Cummings Group,Groceries
"Reichert, Shanahan and Hayes",Shopping
"Tromp, Kerluke and Glover",Groceries
"Bins, Balistreri and Beatty",Shopping
Trantow PLC,Groceries
Miller-Hauck,Groceries
Kuvalis Ltd,Transportation
Dickinson Ltd,Other
"Stanton, Jakubowski and Baumbach",Shopping
"Rohan, White and Aufderhar",Other
"Cormier, Stracke and Thiel",Entertainment
"Tillman, Fritsch and Schmitt",Other
Christiansen-Gusikowski,Other
"Jenkins, Hauck and Friesen",Transportation
Reichel Inc,Entertainment
Prohaska-Murray,Transportation
"Parker, Nolan and Trantow",Entertainment
Volkman Ltd,Other
"Streich, Hansen and Veum",Transportation
Kutch LLC,Transportation
Barton Inc,Groceries
Dooley-Thompson,Other
Flatley Group,Other
Turcotte-Halvorson,Other
Lynch Ltd,Shopping
"Romaguera, Cruickshank and Greenholt",Shopping
Gutmann Ltd,Groceries
Sporer Inc,Transportation
Runolfsson and Sons,Groceries
Block Group,Other
Bahringer-Larson,Groceries
"Rowe, Batz and Goodwin",Groceries
Schmitt Inc,Transportation
Maggio-Fahey,Other
"Haley, Jewess and Bechtelar",Shopping
"Ruecker, Beer and Collier",Shopping
"Robel, Cummerata and Prosacco",Transportation
Jast-McDermott,Shopping
"Bernier, Volkman and Hoeger",Other
Heaney-Marquardt,Entertainment
Hudson-Grady,Shopping
"Towne, Walker and Borer",Groceries
Terry-Huel,Shopping
