merchant_name,category
Starbucks,Food & Dining
McDonalds,Food & Dining
Subway,Food & Dining
Pizza Hut,Food & Dining
Dominos,Food & Dining
Chipotle,Food & Dining
Taco Bell,Food & Dining
Burger King,Food & Dining
Wendys,Food & Dining
KFC,Food & Dining
Panera Bread,Food & Dining
Olive Garden,Food & Dining
Chilis,Food & Dining
Applebees,Food & Dining
IHOP,Food & Dining
Dennys,Food & Dining
Red Lobster,Food & Dining
Buffalo Wild Wings,Food & Dining
Five Guys,Food & Dining
In-N-Out Burger,Food & Dining
Shake Shack,Food & Dining
Panda Express,Food & Dining
Jimmy Johns,Food & Dining
Jersey Mikes,Food & Dining
Dunkin Donuts,Food & Dining
Krispy Kreme,Food & Dining
Cheesecake Factory,Food & Dining
PF Changs,Food & Dining
Texas Roadhouse,Food & Dining
Outback Steakhouse,Food & Dining
Starbucks Coffee,Food & Dining
STARBUCKS,Food & Dining
MCDONALDS,Food & Dining
McDonald's,Food & Dining
Subway Sandwiches,Food & Dining
Domino's Pizza,Food & Dining
Taco Bell Restaurant,Food & Dining
Walmart,Groceries
Target,Groceries
Whole Foods,Groceries
Trader Joes,Groceries
Safeway,Groceries
Kroger,Groceries
Albertsons,Groceries
Publix,Groceries
Costco,Groceries
Sams Club,Groceries
Aldi,Groceries
Food Lion,Groceries
Stop & Shop,Groceries
Giant Eagle,Groceries
HEB,Groceries
Wegmans,Groceries
Sprouts,Groceries
WinCo,Groceries
Fresh Thyme,Groceries
Walmart Supercenter,Groceries
Target Store,Groceries
Whole Foods Market,Groceries
Trader Joe's,Groceries
Costco Wholesale,Groceries
Shell,Transportation
Chevron,Transportation
BP,Transportation
Exxon,Transportation
Mobil,Transportation
76 Gas,Transportation
Arco,Transportation
Texaco,Transportation
Sunoco,Transportation
Circle K,Transportation
Speedway,Transportation
7-Eleven Gas,Transportation
Wawa,Transportation
QuikTrip,Transportation
RaceTrac,Transportation
Uber,Transportation
Lyft,Transportation
Yellow Cab,Transportation
Enterprise,Transportation
Hertz,Transportation
Shell Gas Station,Transportation
BP Gas,Transportation
ExxonMobil,Transportation
Uber Trip,Transportation
AMC Theatres,Entertainment
Regal Cinemas,Entertainment
Cinemark,Entertainment
Netflix,Entertainment
Spotify,Entertainment
Apple Music,Entertainment
Hulu,Entertainment
Disney+,Entertainment
HBO Max,Entertainment
Amazon Prime Video,Entertainment
YouTube Premium,Entertainment
Steam,Entertainment
PlayStation,Entertainment
Xbox,Entertainment
Nintendo,Entertainment
GameStop,Entertainment
Dave & Busters,Entertainment
Top Golf,Entertainment
AMF Bowling,Entertainment
Six Flags,Entertainment
AMC Theater,Entertainment
NETFLIX.COM,Entertainment
SPOTIFY USA,Entertainment
Amazon,Shopping
eBay,Shopping
Best Buy,Shopping
Home Depot,Shopping
Lowes,Shopping
Macys,Shopping
Nordstrom,Shopping
Kohls,Shopping
JCPenney,Shopping
Gap,Shopping
Old Navy,Shopping
Banana Republic,Shopping
H&M,Shopping
Zara,Shopping
Forever 21,Shopping
TJ Maxx,Shopping
Ross,Shopping
Nike,Shopping
Adidas,Shopping
Foot Locker,Shopping
Dicks Sporting Goods,Shopping
REI,Shopping
Bed Bath & Beyond,Shopping
Bath & Body Works,Shopping
Sephora,Shopping
Ulta,Shopping
PetSmart,Shopping
Petco,Shopping
Barnes & Noble,Shopping
Books-A-Million,Shopping
Amazon.com,Shopping
BESTBUY,Shopping
AT&T,Utilities
Verizon,Utilities
T-Mobile,Utilities
Sprint,Utilities
Comcast,Utilities
Xfinity,Utilities
Spectrum,Utilities
Cox,Utilities
CenturyLink,Utilities
Frontier,Utilities
PG&E,Utilities
SCE,Utilities
Con Edison,Utilities
Duke Energy,Utilities
American Water,Utilities
Verizon Wireless,Utilities
ATT Payment,Utilities
Comcast Cable,Utilities
CVS Pharmacy,Healthcare
Walgreens,Healthcare
Rite Aid,Healthcare
Walmart Pharmacy,Healthcare
Target Pharmacy,Healthcare
Kaiser,Healthcare
LabCorp,Healthcare
Quest Diagnostics,Healthcare
Minute Clinic,Healthcare
Urgent Care,Healthcare
CVS,Healthcare
WALGREENS,Healthcare
Uber Eats,Food & Dining
DoorDash,Food & Dining
Grubhub,Food & Dining
Postmates,Food & Dining
Instacart,Other
Dry Cleaner,Other
Laundromat,Other
Car Wash,Other
Great Clips,Other
24 Hour Fitness,Entertainment
Planet Fitness,Entertainment
LA Fitness,Entertainment
Anytime Fitness,Entertainment
