merchant_name,mcc_code,category
Starbucks,5814,Food & Dining
McDonalds,5814,Food & Dining
Subway,5814,Food & Dining
Pizza Hut,5814,Food & Dining
Dominos,5814,Food & Dining
Chipotle,5814,Food & Dining
Taco Bell,5814,Food & Dining
Burger King,5814,Food & Dining
Wendys,5814,Food & Dining
KFC,5814,Food & Dining
Panera Bread,5814,Food & Dining
Olive Garden,5814,Food & Dining
Chilis,5814,Food & Dining
Applebees,5814,Food & Dining
IHOP,5814,Food & Dining
Dennys,5814,Food & Dining
Red Lobster,5814,Food & Dining
Buffalo Wild Wings,5814,Food & Dining
Five Guys,5814,Food & Dining
In-N-Out Burger,5814,Food & Dining
Shake Shack,5814,Food & Dining
Panda Express,5814,Food & Dining
Jimmy Johns,5814,Food & Dining
Jersey Mikes,5814,Food & Dining
Dunkin Donuts,5814,Food & Dining
Krispy Kreme,5814,Food & Dining
Cheesecake Factory,5814,Food & Dining
PF Changs,5814,Food & Dining
Texas Roadhouse,5814,Food & Dining
Outback Steakhouse,5814,Food & Dining
Starbucks Coffee,5814,Food & Dining
STARBUCKS,5814,Food & Dining
MCDONALDS,5814,Food & Dining
McDonald's,5814,Food & Dining
Subway Sandwiches,5814,Food & Dining
Domino's Pizza,5814,Food & Dining
Taco Bell Restaurant,5814,Food & Dining
Walmart,5411,Groceries
Target,5411,Groceries
Whole Foods,5411,Groceries
Trader Joes,5411,Groceries
Safeway,5411,Groceries
Kroger,5411,Groceries
Albertsons,5411,Groceries
Publix,5411,Groceries
Costco,5411,Groceries
Sams Club,5411,Groceries
Aldi,5411,Groceries
Food Lion,5411,Groceries
Stop & Shop,5411,Groceries
Giant Eagle,5411,Groceries
HEB,5411,Groceries
H-E-B,5411,Groceries
HE-B,5411,Groceries
H-EB,5411,Groceries
Wegmans,5411,Groceries
Sprouts,5411,Groceries
WinCo,5411,Groceries
Fresh Thyme,5411,Groceries
Walmart Supercenter,5411,Groceries
Target Store,5411,Groceries
Whole Foods Market,5411,Groceries
Trader Joe's,5411,Groceries
Costco Wholesale,5411,Groceries
Shell,5541,Transportation
Chevron,5541,Transportation
BP,5541,Transportation
Exxon,5541,Transportation
Mobil,5541,Transportation
76 Gas,5541,Transportation
Arco,5541,Transportation
Texaco,5541,Transportation
Sunoco,5541,Transportation
Circle K,5541,Transportation
Speedway,5541,Transportation
7-Eleven Gas,5541,Transportation
Wawa,5541,Transportation
